season,round,driver,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age,circuit_id_albert_park,circuit_id_americas,circuit_id_bahrain,circuit_id_baku,circuit_id_catalunya,circuit_id_hockenheimring,circuit_id_hungaroring,circuit_id_interlagos,circuit_id_marina_bay,circuit_id_monaco,circuit_id_monza,circuit_id_red_bull_ring,circuit_id_ricard,circuit_id_rodriguez,circuit_id_sepang,circuit_id_shanghai,circuit_id_silverstone,circuit_id_sochi,circuit_id_spa,circuit_id_suzuka,circuit_id_villeneuve,circuit_id_yas_marina,nationality_Australian,nationality_British,nationality_Canadian,nationality_Danish,nationality_Dutch,nationality_Finnish,nationality_French,nationality_German,nationality_Mexican,nationality_Russian,nationality_Spanish,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_red_bull,constructor_williams
2014,3,perez,4,Finished,15.0,3,1,0,0,0,1.0,0.0,13.0,19.0,0.0,5.0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014,3,ricciardo,13,Finished,12.0,4,1,0,0,0,0.0,0.0,22.0,15.0,0.0,6.0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,3,hulkenberg,11,Finished,10.0,5,1,0,0,0,18.0,0.0,6.0,19.0,0.0,5.0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,3,vettel,10,Finished,8.0,6,1,0,0,0,15.0,0.0,7.0,15.0,0.0,6.0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,3,massa,7,Finished,6.0,7,1,0,0,0,6.0,0.0,10.0,20.0,0.0,4.0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,3,bottas,3,Finished,4.0,8,1,0,0,0,14.0,0.0,8.0,20.0,0.0,4.0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,3,alonso,9,Finished,2.0,9,1,0,0,0,24.0,0.0,3.0,30.0,0.0,3.0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2014,3,raikkonen,5,Finished,1.0,10,1,0,0,0,6.0,0.0,9.0,30.0,0.0,3.0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,3,kvyat,12,Finished,0.0,11,1,0,0,0,3.0,0.0,12.0,7.0,0.0,7.0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014,3,grosjean,16,Finished,0.0,12,1,0,0,0,0.0,0.0,14.0,0.0,0.0,9.0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,3,chilton,21,Finished,0.0,13,1,0,0,0,0.0,0.0,17.0,0.0,0.0,11.0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,maldonado,17,Finished,0.0,14,1,0,0,0,0.0,0.0,21.0,0.0,0.0,9.0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,3,kobayashi,18,Finished,0.0,15,1,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,jules_bianchi,19,Finished,0.0,16,1,0,0,0,0.0,0.0,20.0,0.0,0.0,11.0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,button,6,Mechanical Issue,0.0,17,1,0,0,0,23.0,0.0,4.0,43.0,0.0,2.0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,3,kevin_magnussen,8,Mechanical Issue,0.0,18,1,0,0,0,20.0,0.0,5.0,43.0,0.0,2.0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,3,gutierrez,15,Incident,0.0,19,1,0,0,0,0.0,0.0,16.0,0.0,0.0,8.0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014,3,ericsson,20,Mechanical Issue,0.0,20,1,0,0,0,0.0,0.0,19.0,0.0,0.0,10.0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,vergne,14,Mechanical Issue,0.0,21,1,0,0,0,4.0,0.0,11.0,7.0,0.0,7.0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,3,sutil,22,Incident,0.0,22,1,0,0,0,0.0,0.0,15.0,0.0,0.0,8.0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,4,hamilton,1,Finished,25.0,1,1,0,0,0,50.0,2.0,2.0,111.0,3.0,1.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,4,rosberg,4,Finished,18.0,2,1,0,0,0,61.0,1.0,1.0,111.0,3.0,1.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,4,alonso,5,Finished,15.0,3,1,0,0,0,26.0,0.0,4.0,33.0,0.0,5.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2014,4,ricciardo,2,Finished,12.0,4,1,0,0,0,12.0,0.0,10.0,35.0,0.0,4.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,4,vettel,3,Finished,10.0,5,1,0,0,0,23.0,0.0,6.0,35.0,0.0,4.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,4,hulkenberg,8,Finished,8.0,6,1,0,0,0,28.0,0.0,3.0,44.0,0.0,2.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,4,bottas,7,Finished,6.0,7,1,0,0,0,18.0,0.0,8.0,30.0,0.0,6.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,4,raikkonen,11,Finished,4.0,8,1,0,0,0,7.0,0.0,12.0,33.0,0.0,5.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,4,perez,16,Finished,2.0,9,1,0,0,0,16.0,0.0,9.0,44.0,0.0,2.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014,4,kvyat,13,Finished,1.0,10,1,0,0,0,3.0,0.0,14.0,7.0,0.0,7.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014,4,button,12,Finished,0.0,11,1,0,0,0,23.0,0.0,5.0,43.0,0.0,3.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,4,vergne,9,Finished,0.0,12,1,0,0,0,4.0,0.0,13.0,7.0,0.0,7.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,4,kevin_magnussen,15,Finished,0.0,13,1,0,0,0,20.0,0.0,7.0,43.0,0.0,3.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,4,maldonado,22,Finished,0.0,14,1,0,0,0,0.0,0.0,20.0,0.0,0.0,8.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,4,massa,6,Finished,0.0,15,1,0,0,0,12.0,0.0,11.0,30.0,0.0,6.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,4,gutierrez,17,Finished,0.0,16,1,0,0,0,0.0,0.0,17.0,0.0,0.0,9.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014,4,jules_bianchi,19,Finished,0.0,17,1,0,0,0,0.0,0.0,22.0,0.0,0.0,10.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
