season,round,circuit_id,driver,nationality,constructor,grid,status,points,podium,weather_warm,weather_cold,weather_wet,weather_cloudy,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,driver_age
2014,4,shanghai,massa,Brazilian,williams,6,Finished,0.0,15,1,0,0,0,12.0,0.0,11.0,30.0,0.0,6.0,32
2014,4,shanghai,gutierrez,Mexican,alfa,17,Finished,0.0,16,1,0,0,0,0.0,0.0,17.0,0.0,0.0,9.0,22
2014,4,shanghai,jules_bianchi,French,manor,19,Finished,0.0,17,1,0,0,0,0.0,0.0,22.0,0.0,0.0,10.0,24
2014,4,shanghai,kobayashi,Japanese,caterham,18,Finished,0.0,18,1,0,0,0,0.0,0.0,19.0,0.0,0.0,11.0,27
2014,4,shanghai,chilton,British,manor,21,Finished,0.0,19,1,0,0,0,0.0,0.0,18.0,0.0,0.0,10.0,22
2014,4,shanghai,ericsson,Swedish,caterham,20,Finished,0.0,20,1,0,0,0,0.0,0.0,21.0,0.0,0.0,11.0,23
2014,4,shanghai,grosjean,French,alpine,10,Mechanical Issue,0.0,21,1,0,0,0,0.0,0.0,15.0,0.0,0.0,8.0,28
2014,4,shanghai,sutil,German,alfa,14,Mechanical Issue,0.0,22,1,0,0,0,0.0,0.0,16.0,0.0,0.0,9.0,31
2014,5,catalunya,hamilton,British,mercedes,1,Finished,25.0,1,1,0,0,0,75.0,3.0,2.0,154.0,4.0,1.0,29
2014,5,catalunya,rosberg,German,mercedes,2,Finished,18.0,2,1,0,0,0,79.0,1.0,1.0,154.0,4.0,1.0,28
2014,5,catalunya,ricciardo,Australian,red_bull,3,Finished,15.0,3,1,0,0,0,24.0,0.0,6.0,57.0,0.0,2.0,24
2014,5,catalunya,vettel,German,red_bull,15,Finished,12.0,4,1,0,0,0,33.0,0.0,5.0,57.0,0.0,2.0,26
2014,5,catalunya,bottas,Finnish,williams,4,Finished,10.0,5,1,0,0,0,24.0,0.0,7.0,36.0,0.0,6.0,24
