,Unnamed: 0,season,round,driver,driver_points,driver_wins,driver_standings_pos
350,24041,2014,16,sutil,0.0,0.0,17.0
351,24042,2014,16,ericsson,0.0,0.0,18.0
352,24043,2014,16,maldonado,0.0,0.0,19.0
353,24044,2014,16,gutierrez,0.0,0.0,20.0
354,24045,2014,16,chilton,0.0,0.0,21.0
355,24046,2014,16,kobayashi,0.0,0.0,22.0
356,24047,2014,16,lotterer,0.0,0.0,23.0
357,24048,2014,17,hamilton,291.0,9.0,1.0
358,24049,2014,17,rosberg,274.0,4.0,2.0
359,24050,2014,17,ricciardo,199.0,3.0,3.0
360,24051,2014,17,bottas,145.0,0.0,4.0
361,24052,2014,17,vettel,143.0,0.0,5.0
362,24053,2014,17,alonso,141.0,0.0,6.0
363,24054,2014,17,button,94.0,0.0,7.0
364,24055,2014,17,massa,71.0,0.0,9.0
365,24056,2014,17,hulkenberg,76.0,0.0,8.0
366,24057,2014,17,kevin_magnussen,49.0,0.0,10.0
367,24058,2014,17,perez,47.0,0.0,11.0
368,24059,2014,17,raikkonen,47.0,0.0,12.0
369,24060,2014,17,vergne,21.0,0.0,13.0
370,24061,2014,17,grosjean,8.0,0.0,14.0
371,24062,2014,17,kvyat,8.0,0.0,15.0
372,24063,2014,17,maldonado,0.0,0.0,19.0
373,24064,2014,17,jules_bianchi,2.0,0.0,16.0
374,24065,2014,17,sutil,0.0,0.0,17.0
375,24066,2014,17,ericsson,0.0,0.0,18.0
376,24067,2014,17,gutierrez,0.0,0.0,20.0
377,24068,2014,17,chilton,0.0,0.0,21.0
378,24069,2014,17,kobayashi,0.0,0.0,22.0
379,24070,2014,17,lotterer,0.0,0.0,23.0
380,24071,2014,18,hamilton,316.0,10.0,1.0
381,24072,2014,18,rosberg,292.0,4.0,2.0
382,24073,2014,18,ricciardo,214.0,3.0,3.0
383,24074,2014,18,vettel,149.0,0.0,5.0
384,24075,2014,18,alonso,149.0,0.0,6.0
385,24076,2014,18,bottas,155.0,0.0,4.0
386,24077,2014,18,button,94.0,0.0,7.0
387,24078,2014,18,massa,83.0,0.0,8.0
388,24079,2014,18,hulkenberg,76.0,0.0,9.0
389,24080,2014,18,kevin_magnussen,53.0,0.0,10.0
390,24081,2014,18,raikkonen,47.0,0.0,12.0
391,24082,2014,18,perez,47.0,0.0,11.0
392,24083,2014,18,vergne,22.0,0.0,13.0
393,24084,2014,18,grosjean,8.0,0.0,14.0
394,24085,2014,18,kvyat,8.0,0.0,15.0
395,24086,2014,18,maldonado,2.0,0.0,16.0
396,24087,2014,18,jules_bianchi,2.0,0.0,17.0
397,24088,2014,18,sutil,0.0,0.0,18.0
398,24089,2014,18,ericsson,0.0,0.0,19.0
399,24090,2014,18,gutierrez,0.0,0.0,20.0
400,24091,2014,18,chilton,0.0,0.0,21.0
401,24092,2014,18,kobayashi,0.0,0.0,22.0
402,24093,2014,18,lotterer,0.0,0.0,23.0
403,24094,2014,19,hamilton,334.0,10.0,1.0
404,24095,2014,19,rosberg,317.0,5.0,2.0
405,24096,2014,19,ricciardo,214.0,3.0,3.0
406,24097,2014,19,bottas,156.0,0.0,6.0
407,24098,2014,19,vettel,159.0,0.0,4.0
408,24099,2014,19,alonso,157.0,0.0,5.0
409,24100,2014,19,massa,98.0,0.0,8.0
410,24101,2014,19,button,106.0,0.0,7.0
411,24102,2014,19,hulkenberg,80.0,0.0,9.0
412,24103,2014,19,perez,47.0,0.0,12.0
413,24104,2014,19,kevin_magnussen,55.0,0.0,10.0
414,24105,2014,19,raikkonen,53.0,0.0,11.0
415,24106,2014,19,vergne,22.0,0.0,13.0
416,24107,2014,19,grosjean,8.0,0.0,14.0
417,24108,2014,19,kvyat,8.0,0.0,15.0
418,24109,2014,19,maldonado,2.0,0.0,16.0
419,24110,2014,19,jules_bianchi,2.0,0.0,17.0
420,24111,2014,19,sutil,0.0,0.0,18.0
421,24112,2014,19,ericsson,0.0,0.0,19.0
422,24113,2014,19,gutierrez,0.0,0.0,20.0
423,24114,2014,19,chilton,0.0,0.0,21.0
424,24115,2014,19,kobayashi,0.0,0.0,22.0
425,24116,2014,19,stevens,0.0,0.0,0.0
426,24117,2014,19,lotterer,0.0,0.0,23.0
427,24118,2015,1,hamilton,0.0,0.0,0.0
428,24119,2015,1,rosberg,0.0,0.0,0.0
429,24120,2015,1,vettel,0.0,0.0,0.0
430,24121,2015,1,massa,0.0,0.0,0.0
431,24122,2015,1,nasr,0.0,0.0,0.0
432,24123,2015,1,ricciardo,0.0,0.0,0.0
433,24124,2015,1,hulkenberg,0.0,0.0,0.0
434,24125,2015,1,ericsson,0.0,0.0,0.0
435,24126,2015,1,sainz,0.0,0.0,0.0
436,24127,2015,1,perez,0.0,0.0,0.0
437,24128,2015,1,button,0.0,0.0,0.0
438,24129,2015,1,raikkonen,0.0,0.0,0.0
439,24130,2015,1,max_verstappen,0.0,0.0,0.0
440,24131,2015,1,grosjean,0.0,0.0,0.0
441,24132,2015,1,maldonado,0.0,0.0,0.0
442,24133,2015,1,kvyat,0.0,0.0,0.0
443,24134,2015,1,kevin_magnussen,0.0,0.0,0.0
444,24135,2015,1,bottas,0.0,0.0,0.0
445,24136,2015,2,hamilton,25.0,1.0,1.0
446,24137,2015,2,vettel,15.0,0.0,3.0
447,24138,2015,2,rosberg,18.0,0.0,2.0
448,24139,2015,2,massa,12.0,0.0,4.0
449,24140,2015,2,raikkonen,0.0,0.0,12.0
450,24141,2015,2,nasr,10.0,0.0,5.0
