,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
317,1961,3,emeryson,0.0,0.0,7.0
318,1961,4,ferrari,24.0,2.0,1.0
319,1961,4,lotus-climax,13.0,1.0,2.0
320,1961,4,porsche,3.0,0.0,4.0
321,1961,4,cooper-climax,4.0,0.0,3.0
322,1961,4,brm,0.0,0.0,6.0
323,1961,4,cooper-maserati,0.0,0.0,5.0
324,1961,4,emeryson,0.0,0.0,7.0
325,1961,4,de_tomaso-osca,0.0,0.0,0.0
326,1961,4,jbw,0.0,0.0,0.0
327,1961,5,ferrari,33.0,3.0,1.0
328,1961,5,lotus-climax,17.0,1.0,2.0
329,1961,5,porsche,9.0,0.0,3.0
330,1961,5,cooper-climax,6.0,0.0,4.0
331,1961,5,brm,1.0,0.0,5.0
332,1961,5,cooper-maserati,0.0,0.0,6.0
333,1961,5,gilby,0.0,0.0,0.0
334,1961,5,emeryson,0.0,0.0,7.0
335,1961,5,de_tomaso-osca,0.0,0.0,8.0
336,1961,5,jbw,0.0,0.0,9.0
337,1961,6,ferrari,42.0,4.0,1.0
338,1961,6,lotus-climax,17.0,1.0,2.0
339,1961,6,porsche,11.0,0.0,3.0
340,1961,6,cooper-climax,9.0,0.0,4.0
341,1961,6,brm,1.0,0.0,5.0
342,1961,6,cooper-maserati,0.0,0.0,6.0
343,1961,6,gilby,0.0,0.0,7.0
344,1961,6,emeryson,0.0,0.0,8.0
345,1961,6,de_tomaso-osca,0.0,0.0,9.0
346,1961,6,mbm,0.0,0.0,0.0
347,1961,6,jbw,0.0,0.0,10.0
348,1961,7,ferrari,42.0,4.0,1.0
349,1961,7,lotus-climax,26.0,2.0,2.0
350,1961,7,porsche,11.0,0.0,3.0
351,1961,7,cooper-climax,10.0,0.0,4.0
352,1961,7,brm,1.0,0.0,5.0
353,1961,7,cooper-maserati,0.0,0.0,6.0
354,1961,7,gilby,0.0,0.0,7.0
355,1961,7,lotus-maserati,0.0,0.0,0.0
356,1961,7,de_tomaso-alfa_romeo,0.0,0.0,0.0
357,1961,7,emeryson,0.0,0.0,8.0
358,1961,7,de_tomaso-osca,0.0,0.0,9.0
359,1961,7,jbw,0.0,0.0,11.0
360,1961,7,mbm,0.0,0.0,10.0
361,1961,8,ferrari,45.0,5.0,1.0
362,1961,8,lotus-climax,26.0,2.0,2.0
363,1961,8,porsche,17.0,0.0,3.0
364,1961,8,cooper-climax,13.0,0.0,4.0
365,1961,8,brm,3.0,0.0,5.0
366,1961,8,cooper-maserati,0.0,0.0,6.0
367,1961,8,gilby,0.0,0.0,7.0
368,1961,8,lotus-maserati,0.0,0.0,8.0
369,1961,8,de_tomaso-alfa_romeo,0.0,0.0,9.0
370,1961,8,emeryson,0.0,0.0,10.0
371,1961,8,de_tomaso-osca,0.0,0.0,11.0
372,1961,8,jbw,0.0,0.0,12.0
373,1961,8,mbm,0.0,0.0,13.0
374,1962,1,brm,0.0,0.0,0.0
375,1962,1,lotus-climax,0.0,0.0,0.0
376,1962,1,ferrari,0.0,0.0,0.0
377,1962,1,cooper-climax,0.0,0.0,0.0
378,1962,1,porsche,0.0,0.0,0.0
379,1962,1,emeryson,0.0,0.0,0.0
380,1962,1,lola,0.0,0.0,0.0
381,1962,2,cooper-climax,2.0,0.0,4.0
382,1962,2,brm,9.0,1.0,1.0
383,1962,2,ferrari,4.0,0.0,3.0
384,1962,2,lotus-climax,6.0,0.0,2.0
385,1962,2,lola,0.0,0.0,7.0
386,1962,2,porsche,1.0,0.0,5.0
387,1962,2,emeryson,0.0,0.0,6.0
388,1962,2,lotus-brm,0.0,0.0,0.0
389,1962,2,de_tomaso-alfa_romeo,0.0,0.0,0.0
390,1962,3,brm,10.0,1.0,2.0
391,1962,3,lotus-climax,6.0,0.0,4.0
392,1962,3,ferrari,10.0,0.0,3.0
393,1962,3,cooper-climax,11.0,1.0,1.0
394,1962,3,lola,3.0,0.0,5.0
395,1962,3,porsche,3.0,0.0,6.0
396,1962,3,emeryson,0.0,0.0,7.0
397,1962,3,lotus-brm,0.0,0.0,8.0
398,1962,3,de_tomaso-alfa_romeo,0.0,0.0,9.0
399,1962,4,brm,16.0,1.0,1.0
400,1962,4,cooper-climax,11.0,1.0,4.0
401,1962,4,lotus-climax,15.0,1.0,2.0
402,1962,4,ferrari,14.0,0.0,3.0
403,1962,4,porsche,3.0,0.0,6.0
404,1962,4,lola,5.0,0.0,5.0
405,1962,4,cooper,0.0,0.0,0.0
406,1962,4,lotus-brm,0.0,0.0,8.0
407,1962,4,emeryson,0.0,0.0,7.0
408,1962,4,team_lotus,0.0,0.0,0.0
409,1962,4,de_tomaso-alfa_romeo,0.0,0.0,9.0
410,1962,5,lotus-climax,15.0,1.0,3.0
411,1962,5,brm,20.0,1.0,1.0
412,1962,5,cooper-climax,17.0,1.0,2.0
413,1962,5,ferrari,14.0,0.0,4.0
414,1962,5,lola,7.0,0.0,6.0
415,1962,5,porsche,12.0,1.0,5.0
416,1962,5,emeryson,0.0,0.0,9.0
417,1962,5,cooper,0.0,0.0,7.0
418,1962,5,lotus-brm,0.0,0.0,8.0
419,1962,5,team_lotus,0.0,0.0,10.0
420,1962,5,de_tomaso-alfa_romeo,0.0,0.0,11.0
421,1962,5,gilby,0.0,0.0,0.0
422,1962,6,brm,23.0,1.0,2.0
423,1962,6,lotus-climax,24.0,2.0,1.0
424,1962,6,cooper-climax,21.0,1.0,3.0
425,1962,6,lola,13.0,0.0,5.0
426,1962,6,porsche,12.0,1.0,6.0
427,1962,6,ferrari,14.0,0.0,4.0
428,1962,6,emeryson,0.0,0.0,7.0
429,1962,6,enb,0.0,0.0,0.0
430,1962,6,cooper,0.0,0.0,8.0
431,1962,6,lotus-brm,0.0,0.0,9.0
432,1962,6,team_lotus,0.0,0.0,10.0
433,1962,6,brabham,0.0,0.0,0.0
434,1962,6,gilby,0.0,0.0,12.0
435,1962,6,de_tomaso-alfa_romeo,0.0,0.0,11.0
436,1962,7,brm,31.0,2.0,1.0
437,1962,7,lotus-climax,27.0,2.0,2.0
438,1962,7,cooper-climax,23.0,1.0,3.0
439,1962,7,lola,19.0,0.0,4.0
440,1962,7,ferrari,15.0,0.0,6.0
441,1962,7,porsche,16.0,1.0,5.0
442,1962,7,emeryson,0.0,0.0,7.0
443,1962,7,lotus-brm,0.0,0.0,10.0
444,1962,7,enb,0.0,0.0,8.0
445,1962,7,cooper,0.0,0.0,9.0
446,1962,7,team_lotus,0.0,0.0,11.0
447,1962,7,brabham,0.0,0.0,12.0
448,1962,7,gilby,0.0,0.0,13.0
449,1962,7,de_tomaso-alfa_romeo,0.0,0.0,14.0
450,1962,7,de_tomaso-osca,0.0,0.0,0.0
451,1962,7,tomaso,0.0,0.0,0.0
452,1962,7,lotus-borgward,0.0,0.0,0.0
453,1962,8,brm,37.0,3.0,1.0
454,1962,8,lotus-climax,27.0,2.0,2.0
455,1962,8,cooper-climax,25.0,1.0,3.0
456,1962,8,lola,19.0,0.0,4.0
457,1962,8,porsche,17.0,1.0,6.0
458,1962,8,ferrari,18.0,0.0,5.0
459,1962,8,brabham,0.0,0.0,12.0
460,1962,8,lotus-brm,0.0,0.0,8.0
461,1962,8,emeryson,0.0,0.0,7.0
462,1962,8,enb,0.0,0.0,9.0
463,1962,8,cooper,0.0,0.0,10.0
464,1962,8,team_lotus,0.0,0.0,11.0
465,1962,8,gilby,0.0,0.0,13.0
466,1962,8,de_tomaso-alfa_romeo,0.0,0.0,14.0
467,1962,8,de_tomaso-osca,0.0,0.0,15.0
468,1962,8,tomaso,0.0,0.0,16.0
469,1962,8,lotus-borgward,0.0,0.0,17.0
470,1962,9,brm,39.0,3.0,1.0
471,1962,9,lotus-climax,36.0,3.0,2.0
472,1962,9,cooper-climax,27.0,1.0,3.0
473,1962,9,lola,19.0,0.0,4.0
474,1962,9,porsche,18.0,1.0,5.0
475,1962,9,ferrari,18.0,0.0,6.0
476,1962,9,brabham,3.0,0.0,7.0
477,1962,9,lotus-brm,1.0,0.0,8.0
478,1962,9,emeryson,0.0,0.0,9.0
479,1962,9,enb,0.0,0.0,10.0
480,1962,9,cooper,0.0,0.0,11.0
481,1962,9,lds,0.0,0.0,0.0
482,1962,9,cooper-alfa_romeo,0.0,0.0,0.0
483,1962,9,team_lotus,0.0,0.0,12.0
484,1962,9,gilby,0.0,0.0,13.0
485,1962,9,de_tomaso-alfa_romeo,0.0,0.0,14.0
486,1962,9,de_tomaso-osca,0.0,0.0,15.0
487,1962,9,tomaso,0.0,0.0,16.0
488,1962,9,lotus-borgward,0.0,0.0,17.0
489,1963,1,brm,0.0,0.0,0.0
490,1963,1,cooper-climax,0.0,0.0,0.0
491,1963,1,ferrari,0.0,0.0,0.0
492,1963,1,lotus-climax,0.0,0.0,0.0
493,1963,1,lotus-brm,0.0,0.0,0.0
494,1963,1,lola,0.0,0.0,0.0
495,1963,1,brabham,0.0,0.0,0.0
496,1963,1,ats,0.0,0.0,0.0
497,1963,1,scirocco,0.0,0.0,0.0
498,1963,1,tomaso,0.0,0.0,0.0
499,1963,1,porsche,0.0,0.0,0.0
500,1963,2,brm,9.0,1.0,1.0
501,1963,2,lotus-climax,1.0,0.0,4.0
502,1963,2,cooper-climax,4.0,0.0,2.0
503,1963,2,brabham,0.0,0.0,7.0
504,1963,2,ferrari,3.0,0.0,3.0
505,1963,2,porsche,0.0,0.0,11.0
506,1963,2,scirocco,0.0,0.0,9.0
507,1963,2,lotus-brm,0.0,0.0,5.0
508,1963,2,lola,0.0,0.0,6.0
509,1963,2,ats,0.0,0.0,8.0
510,1963,2,brp,0.0,0.0,0.0
511,1963,2,tomaso,0.0,0.0,10.0
512,1963,3,lotus-climax,10.0,1.0,2.0
513,1963,3,brm,12.0,1.0,1.0
514,1963,3,cooper-climax,10.0,0.0,3.0
515,1963,3,brabham,4.0,0.0,4.0
516,1963,3,ferrari,3.0,0.0,5.0
517,1963,3,brp,0.0,0.0,11.0
518,1963,3,porsche,1.0,0.0,6.0
519,1963,3,lotus-brm,0.0,0.0,8.0
520,1963,3,scirocco,0.0,0.0,7.0
521,1963,3,lola,0.0,0.0,9.0
522,1963,3,ats,0.0,0.0,10.0
523,1963,3,tomaso,0.0,0.0,12.0
524,1963,4,lotus-climax,19.0,2.0,1.0
525,1963,4,cooper-climax,10.0,0.0,3.0
526,1963,4,brm,14.0,1.0,2.0
527,1963,4,brabham,10.0,0.0,4.0
528,1963,4,ferrari,7.0,0.0,5.0
529,1963,4,brp,3.0,0.0,6.0
530,1963,4,lotus-brm,0.0,0.0,8.0
531,1963,4,porsche,1.0,0.0,7.0
532,1963,4,lola,0.0,0.0,10.0
533,1963,4,scirocco,0.0,0.0,9.0
534,1963,4,ats,0.0,0.0,11.0
535,1963,4,tomaso,0.0,0.0,12.0
536,1963,5,lotus-climax,28.0,3.0,1.0
537,1963,5,brm,14.0,1.0,3.0
538,1963,5,cooper-climax,16.0,0.0,2.0
539,1963,5,brabham,13.0,0.0,4.0
540,1963,5,ferrari,7.0,0.0,5.0
541,1963,5,brp,3.0,0.0,6.0
542,1963,5,lotus-brm,1.0,0.0,7.0
543,1963,5,porsche,1.0,0.0,8.0
544,1963,5,lola,0.0,0.0,9.0
545,1963,5,scirocco,0.0,0.0,10.0
546,1963,5,ats,0.0,0.0,11.0
547,1963,5,gilby,0.0,0.0,0.0
